,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,3,1,2,3,1,1,3,2,2,2,1,4
1,2,2,2,0,1,0,2,1,5,3,2,4
2,4,1,2,0,1,0,2,1,4,2,3,4
3,3,1,1,1,1,1,4,1,4,2,3,4
4,3,1,1,1,1,1,4,1,4,2,3,4
5,4,1,2,0,1,0,2,1,4,2,3,4
6,2,2,0,0,1,0,2,1,4,2,2,4
7,3,1,2,3,1,1,3,2,2,2,1,4
8,2,2,2,0,1,0,2,1,5,3,2,4
9,4,1,2,0,1,0,2,1,4,2,4,4
10,4,1,2,0,0,0,1,0,2,3,6,3
11,4,1,2,0,0,0,2,1,3,3,2,3
12,3,0,2,0,0,0,1,0,4,4,4,3
13,2,0,2,0,1,1,3,0,7,3,7,6
14,4,3,3,2,0,1,3,2,2,5,2,3
15,2,0,2,0,0,0,2,0,4,3,5,6
16,2,3,0,0,1,0,2,1,4,1,2,4
17,2,5,2,0,0,0,1,0,5,1,7,8
18,3,2,2,0,0,0,3,0,3,3,5,4
19,2,2,0,1,1,1,2,1,4,3,2,3
20,2,5,2,0,0,0,1,0,5,1,7,8
21,2,2,2,0,0,0,2,0,4,1,4,6
22,2,1,2,0,1,1,2,1,6,3,4,8
23,3,5,0,0,1,0,3,1,2,3,2,3
24,2,1,2,0,1,0,3,1,6,2,3,4
25,3,1,1,1,1,1,5,1,4,3,3,4
26,2,1,2,0,1,1,3,1,6,2,3,4
27,3,1,2,1,1,1,3,1,5,3,4,4
28,3,1,2,0,1,0,2,0,4,3,5,4
29,3,2,2,0,0,1,2,0,3,5,6,6
30,4,1,2,1,1,0,3,1,4,3,3,4
31,4,0,2,0,0,0,0,1,6,2,3,4
32,3,1,2,0,1,1,2,0,4,2,4,4
33,2,0,2,0,1,1,2,1,6,3,1,4
34,1,1,1,2,1,0,3,1,5,1,3,3
35,3,1,2,0,2,0,2,0,4,2,7,3
36,2,3,1,0,1,0,3,1,4,1,3,3
37,3,2,1,0,1,1,2,0,3,0,5,4
38,3,1,2,2,1,1,3,2,4,1,0,3
39,3,1,2,2,1,1,3,2,4,1,0,3
40,2,1,2,0,4,2,3,1,3,1,2,4
41,2,1,2,0,4,2,3,1,3,1,2,4
